order_id,customer_id,store_id,order_date,payment_method,order_status,discount_pct,total_amount_inr
64,4706,25,2024-06-27,Wallet,Completed,0,11974.86
65,5459,20,2023-01-20,Cash,Completed,10,15561.91
66,1395,34,2024-05-11,Wallet,Completed,10,23161.51
67,366,2,2023-05-25,Cash,Completed,25,13873.06
68,4320,22,2024-07-26,Debit Card,Completed,0,22634.88
69,761,1,2024-07-02,Debit Card,Returned,10,4188.6
70,844,15,2023-07-04,Net Banking,Completed,15,1296.05
71,1742,19,2024-05-16,Credit Card,Completed,15,5149.1
72,2461,17,2023-04-19,Cash,Completed,10,1496.23
73,4840,25,2023-09-20,Credit Card,Completed,5,23807.91
74,3381,35,2023-08-06,Wallet,Completed,20,24874.91
75,546,34,2024-02-26,Net Banking,Completed,5,13372.03
76,3184,10,2024-09-19,Wallet,Completed,15,11430.31
77,4863,6,2023-03-05,Wallet,Completed,0,21779.38
78,2106,29,2023-03-11,Debit Card,Completed,5,21654.63
79,205,21,2024-07-05,Credit Card,Pending,15,19558.42
80,236,31,2024-07-16,Cash,Completed,5,5354.49
81,2800,28,2024-11-05,Net Banking,Completed,5,16256.08
82,2173,22,2023-03-27,Credit Card,Completed,20,1985.75
83,639,5,2024-06-24,Net Banking,Completed,5,5099.06
84,4464,21,2023-10-21,Debit Card,Completed,5,7114.75
85,3316,18,2024-03-01,UPI,Completed,15,6872.16
86,2900,12,2023-05-13,Wallet,Completed,0,7292.01
87,4947,27,2023-07-14,Net Banking,Completed,0,12199.4
88,1693,6,2023-08-09,Net Banking,Completed,0,16642.88
89,3837,16,2023-08-23,UPI,Completed,10,7122.79
90,4209,16,2024-06-08,Debit Card,Completed,15,1053.0
91,4759,23,2023-07-21,Credit Card,Returned,10,4092.17
92,4387,24,2023-01-07,Net Banking,Completed,0,16012.36
93,4063,8,2023-04-22,Cash,Completed,0,21080.26
94,4357,20,2023-08-13,Cash,Completed,0,9402.85
95,863,2,2024-10-13,Cash,Returned,25,9012.37
96,5032,16,2023-10-09,Wallet,Returned,0,22830.25
97,5627,1,2023-05-18,Wallet,Completed,0,1028.78
98,5971,17,2023-09-04,Net Banking,Completed,0,10189.37
99,1138,10,2024-09-28,Wallet,Completed,0,5105.49
100,1800,1,2024-05-07,Credit Card,Completed,25,13947.01
101,3171,9,2023-07-30,Credit Card,Completed,0,20329.79
102,5074,18,2024-06-12,Wallet,Completed,10,21250.28
103,3121,30,2023-09-30,Debit Card,Completed,0,3372.69
104,1608,7,2023-02-24,Net Banking,Completed,10,1028.56
105,3006,10,2023-06-17,Cash,Completed,25,24934.44
106,5559,2,2024-05-19,Net Banking,Returned,15,9483.45
107,3652,21,2023-05-10,Debit Card,Completed,20,3570.59
108,5854,10,2023-11-07,Cash,Completed,0,9609.9
109,752,12,2024-12-11,UPI,Completed,20,12712.17
110,1263,18,2024-12-17,Credit Card,Completed,0,1641.88
111,963,5,2024-12-15,Net Banking,Cancelled,20,10946.77
112,1141,20,2024-06-13,Debit Card,Completed,0,19192.95
113,5685,24,2024-09-01,Cash,Cancelled,20,23583.08
114,4807,15,2023-01-03,Wallet,Completed,25,6890.21
115,2404,14,2024-06-13,Credit Card,Completed,20,21312.49
116,5318,22,2023-09-01,Cash,Completed,25,6407.65
117,1752,13,2023-06-27,Debit Card,Completed,0,21261.85
118,490,29,2023-01-12,Net Banking,Completed,0,13243.48
119,4994,3,2023-08-19,Credit Card,Completed,10,5826.69
120,297,5,2023-06-24,Net Banking,Returned,10,14628.09
121,192,23,2024-11-28,Debit Card,Completed,0,1753.01
122,4770,29,2023-02-03,Debit Card,Completed,25,22489.39
123,4589,7,2024-03-03,Cash,Completed,0,5009.36
124,2587,27,2024-03-17,Wallet,Completed,20,10315.98
125,5463,33,2024-01-08,Debit Card,Completed,0,16076.74
126,2569,25,2023-10-10,Net Banking,Completed,20,14361.29
127,2907,22,2024-09-25,UPI,Returned,0,15953.02
128,2140,17,2024-01-29,Net Banking,Completed,15,598.63
129,5764,21,2024-07-12,UPI,Completed,0,10949.46
130,3987,7,2024-05-25,UPI,Completed,20,22090.41
131,1138,21,2023-06-26,UPI,Completed,20,5708.86
132,1366,25,2024-05-25,UPI,Completed,0,1991.03
133,1849,24,2024-08-07,Credit Card,Completed,20,24285.95
134,4196,22,2024-07-29,Credit Card,Completed,0,11497.34
135,1382,30,2023-03-06,UPI,Completed,0,1976.1
136,5765,21,2023-08-08,Net Banking,Completed,25,12416.42
137,2838,29,2024-03-21,Credit Card,Completed,20,8280.07
138,4650,26,2023-02-06,Cash,Returned,15,21478.0
139,5720,10,2023-01-26,UPI,Completed,0,3861.73
140,2317,20,2023-03-13,Cash,Completed,0,13751.14
141,2741,9,2023-09-18,Credit Card,Completed,10,7999.08
142,4064,35,2023-12-12,Debit Card,Cancelled,10,14472.21
143,4613,21,2023-06-15,Cash,Completed,20,1330.58
144,3749,2,2023-06-05,Debit Card,Completed,0,3342.47
145,1318,10,2024-06-22,Credit Card,Completed,0,16401.89
146,5323,32,2024-09-01,Cash,Completed,0,14025.92
147,2956,31,2023-11-30,Credit Card,Completed,20,3203.42
148,4358,20,2023-05-17,Credit Card,Completed,0,9236.86
149,4186,2,2023-05-01,Credit Card,Completed,20,18077.78
150,3806,7,2023-12-06,Net Banking,Completed,20,2267.97
151,5123,1,2024-04-07,Credit Card,Completed,15,15733.79
152,4187,12,2024-09-05,Wallet,Cancelled,25,645.24
153,4410,25,2024-11-12,Debit Card,Pending,0,24588.51
154,4972,25,2023-05-13,UPI,Pending,5,7329.04
155,4236,16,2023-07-19,Credit Card,Completed,0,9866.61
156,1097,32,2023-01-30,Wallet,Completed,0,3901.88
157,790,5,2023-04-09,Debit Card,Completed,5,14097.97
158,4412,5,2023-04-16,Debit Card,Completed,25,10175.72
159,2824,15,2023-01-15,Wallet,Completed,0,606.72
160,890,24,2023-03-28,Credit Card,Completed,25,14089.54
161,99999,999,2023-02-13,Net Banking,Completed,83,-21992.7
162,287,16,2023-09-27,UPI,Completed,25,23557.39
163,5129,16,2024-08-22,Net Banking,Completed,15,18664.62
164,5696,3,2023-05-26,Wallet,Completed,0,23104.66
165,4631,3,2023-02-11,Cash,Completed,0,
166,2705,31,2024-09-22,Cash,Completed,20,13315.61
167,4939,5,2023-03-08,Net Banking,Completed,25,5098.7
168,99999,999,2024-12-05,Credit Card,Completed,102,-18566.44
169,18,33,2024-12-03,Debit Card,Cancelled,0,19969.53
170,378,15,2023-06-04,UPI,Completed,0,12543.82
171,2991,7,2023-08-14,UPI,Returned,15,17208.36
172,2788,7,2024-07-05,UPI,Returned,0,22077.19
173,3251,10,2024-12-13,Wallet,Completed,0,21101.01
174,5542,17,2023-02-13,Net Banking,Completed,0,24456.77
175,4859,14,2024-04-22,Wallet,Completed,25,374.83
176,5553,27,2024-02-27,Wallet,Completed,0,16139.98
177,5926,12,2023-05-10,Wallet,Completed,10,15347.92
178,826,15,2023-06-07,Cash,Completed,0,2088.05
179,5298,14,2024-04-08,Cash,Completed,0,3969.51
180,2741,5,2023-08-01,UPI,Completed,15,12330.99
181,5179,30,2023-06-23,Net Banking,Completed,15,9376.71
182,3417,14,2023-05-16,Net Banking,Completed,25,17481.73
183,659,7,2023-04-23,UPI,Completed,5,22504.66
184,3444,33,2023-12-02,Wallet,Completed,0,11870.26
185,1190,27,2024-07-22,Credit Card,Completed,0,3378.07
186,5746,9,2024-11-16,Debit Card,Pending,20,12698.16
187,1379,26,2024-04-14,Debit Card,Cancelled,0,11307.01
188,724,5,2023-02-02,Cash,Completed,15,4488.6
189,5699,18,2024-01-23,Wallet,Completed,10,18628.36
190,2990,5,2024-12-09,Wallet,Completed,10,16008.08
191,5664,14,2023-12-28,Credit Card,Returned,0,2952.27
192,2849,1,2023-01-03,Cash,Completed,20,7578.52
193,1440,5,2024-01-20,Cash,Completed,0,15110.49
194,4534,2,2024-08-07,Cash,Completed,20,4181.39
195,4716,3,2023-07-22,Wallet,Completed,10,2259.91
196,5306,5,2024-12-08,Cash,Returned,0,20862.82
197,4815,11,2023-03-23,Wallet,Completed,5,22399.88
198,5964,9,2023-04-07,Credit Card,Pending,0,
199,4840,32,2023-12-03,Credit Card,Completed,25,12641.45
200,4631,4,2024-01-12,Credit Card,Completed,5,6367.29
201,4792,11,2023-04-29,Cash,Completed,0,9773.94
202,848,19,2024-09-29,Cash,Completed,0,6827.7
203,4459,13,2023-03-12,Wallet,Completed,25,2029.08
204,5971,32,2023-04-18,Credit Card,Completed,20,7704.2
205,415,34,2023-12-21,Debit Card,Completed,5,8770.44
206,5370,27,2024-02-19,UPI,Completed,15,375.26
207,660,14,2023-01-31,Net Banking,Completed,0,22192.81
208,178,18,2023-06-28,Cash,Cancelled,10,2619.66
209,566,3,2024-08-06,Cash,Completed,20,19947.98
210,3957,3,2024-10-25,Cash,Completed,0,9360.82
211,691,19,2024-08-27,Net Banking,Returned,0,5061.82
212,2991,1,2024-12-29,Wallet,Completed,0,4341.18
213,41,12,2023-01-18,Debit Card,Completed,5,17713.62
214,2782,27,2024-11-04,Debit Card,Completed,0,8195.82
215,5956,26,2023-08-18,UPI,Completed,10,22340.95
216,4923,25,2023-06-22,UPI,Completed,20,6359.46
217,2360,14,2024-08-19,Wallet,Pending,121,-13232.37
218,3637,31,2023-11-27,Net Banking,Completed,25,22742.5
219,3642,10,2023-10-25,Debit Card,Completed,0,2543.86
220,3461,9,2023-10-07,Wallet,Completed,15,10104.67
221,842,23,2023-06-30,Debit Card,Completed,15,8799.32
222,5504,29,2024-12-17,Net Banking,Completed,0,9425.45
223,1034,30,2024-01-12,Wallet,Completed,10,228.53
224,2688,24,2023-09-24,Credit Card,Completed,98,-3631.79
225,1047,12,2024-08-06,Net Banking,Completed,25,8319.44
226,950,12,2023-10-16,Credit Card,Completed,0,2252.49
227,4072,2,2024-12-06,Wallet,Completed,0,17023.79
228,4880,18,2024-05-23,UPI,Completed,10,4362.57
229,3267,32,2023-12-16,Debit Card,Returned,0,6853.42
230,5874,3,2023-05-06,Debit Card,Completed,10,15013.72
231,4920,29,2024-03-06,Net Banking,Completed,25,22203.26
232,5594,26,2024-11-26,Credit Card,Completed,0,1611.95
233,2214,27,2024-11-09,Debit Card,Completed,0,23734.21
234,4387,35,2023-01-26,Credit Card,Completed,5,1302.87
235,5623,21,2024-03-23,Credit Card,Pending,0,24981.16
236,3057,20,2024-04-08,UPI,Completed,25,954.39
237,3070,23,2023-03-02,Net Banking,Completed,5,164.44
238,2388,5,2024-06-04,Debit Card,Completed,25,15296.42
239,3376,21,2023-07-01,Cash,Completed,0,4640.43
240,5531,29,2024-03-13,UPI,Returned,20,13206.63
241,1059,18,2023-02-19,Wallet,Completed,0,15569.59
242,2905,3,2023-07-08,Wallet,Completed,10,17200.86
243,1045,7,2024-08-15,Credit Card,Completed,0,20598.05
244,3822,33,2024-07-24,Credit Card,Completed,5,5366.88
245,5059,19,2024-12-29,UPI,Completed,5,8798.33
246,1465,7,2023-10-17,Wallet,Completed,20,14709.27
247,99999,999,2024-12-13,Cash,Completed,140,-11464.87
248,5660,6,2023-11-18,Cash,Completed,15,17128.47
249,5581,1,2023-02-01,UPI,Completed,0,17008.0
250,1656,33,2024-08-15,Wallet,Completed,10,14698.13
251,1429,25,2024-01-15,Net Banking,Pending,0,6559.19
252,2337,16,2023-07-18,Wallet,Completed,0,8667.05
253,4188,22,2024-11-19,Net Banking,Completed,0,19158.93
254,1694,12,2024-06-24,UPI,Completed,0,24833.82
255,2972,2,2023-10-08,Cash,Completed,5,18100.78
256,4073,33,2024-07-21,Debit Card,Completed,20,
257,4145,30,2024-08-12,Net Banking,Returned,25,14727.29
258,41,33,2023-04-22,Credit Card,Completed,25,18438.92
259,279,3,2023-10-07,Credit Card,Completed,0,11923.77
260,70,7,2024-04-27,Wallet,Returned,0,5981.51
261,4915,11,2023-01-09,Cash,Completed,10,9521.2
262,109,19,2023-10-05,Credit Card,Completed,0,23603.53
263,2541,7,2023-11-07,Wallet,Returned,0,6902.09
264,3352,27,2023-11-04,Cash,Completed,10,17733.46
265,3531,20,2023-01-27,Net Banking,Completed,0,17478.22
266,5665,22,2024-12-01,UPI,Completed,10,11204.33
267,4647,24,2024-03-07,Credit Card,Completed,0,23588.08
268,595,4,2024-01-26,UPI,Completed,20,21877.67
269,701,28,2024-08-10,UPI,Returned,15,20712.85
270,2504,23,2023-04-24,UPI,Completed,15,10173.01
271,581,6,2024-12-21,Cash,Completed,25,23774.64
272,4383,22,2023-06-22,Credit Card,Completed,15,20996.7
273,117,19,2023-06-05,UPI,Completed,5,2746.81
274,2859,9,2024-06-20,Credit Card,Completed,20,12790.57
275,1896,19,2024-05-16,Debit Card,Completed,0,14963.14
276,546,30,2024-12-24,Wallet,Completed,0,18093.48
277,944,6,2024-04-17,Cash,Completed,0,2937.99
278,3277,34,2024-11-01,Wallet,Completed,0,1512.13
279,2483,7,2024-07-23,UPI,Pending,0,15449.1
280,2946,20,2023-04-30,Debit Card,Completed,0,14361.0
281,1110,28,2024-10-23,Wallet,Completed,0,14135.03
282,430,29,2024-10-08,Wallet,Pending,0,
283,307,26,2023-07-15,Cash,Completed,0,1923.55
284,1813,17,2024-01-09,Debit Card,Returned,0,2092.18
285,4469,34,2023-08-29,UPI,Completed,25,18641.57
286,1034,3,2023-02-09,Debit Card,Completed,25,21995.18
287,5197,16,2023-01-06,UPI,Completed,25,5550.6
288,390,12,2024-01-17,Credit Card,Completed,20,8860.9
289,5912,17,2023-10-16,Net Banking,Completed,5,10960.41
290,2610,30,2023-11-14,Debit Card,Completed,10,19133.54
291,2251,19,2023-10-25,Cash,Completed,0,12369.45
292,5493,13,2023-08-22,Debit Card,Completed,20,13308.55
293,2809,35,2023-09-28,Debit Card,Completed,0,8073.45
294,4734,4,2024-10-23,Cash,Completed,15,
295,99999,999,2023-12-26,Cash,Completed,146,-14667.02
296,68,18,2024-03-20,Cash,Completed,20,24135.75
297,5264,9,2023-03-27,Net Banking,Completed,140,-3132.63
298,4106,29,2024-11-19,Credit Card,Completed,0,9673.54
299,5053,7,2023-04-28,UPI,Cancelled,0,13713.24
300,3681,3,2023-01-20,Debit Card,Completed,20,16780.28
301,4828,8,2023-12-23,Credit Card,Completed,15,19769.14
302,4597,16,2024-12-22,Credit Card,Completed,0,7902.82
303,389,18,2024-04-09,Wallet,Completed,5,19803.15
304,802,19,2023-08-06,Cash,Completed,0,1424.39
305,4709,19,2023-04-15,Debit Card,Completed,0,8324.65
306,5303,10,2024-11-18,UPI,Returned,0,2845.88
307,1180,22,2024-05-19,Net Banking,Completed,15,9493.72
308,3501,25,2023-10-08,Net Banking,Completed,25,8916.96
309,5229,10,2023-12-09,Cash,Completed,0,11636.77
310,3982,19,2023-09-09,Debit Card,Completed,20,4538.56
311,1452,35,2023-10-05,Net Banking,Cancelled,0,22507.26
312,1403,24,2024-11-04,Cash,Completed,15,7696.63
313,2823,13,2024-05-08,Cash,Completed,20,8459.83
314,313,31,2023-09-18,Net Banking,Completed,25,14877.87
315,1453,1,2024-08-06,Credit Card,Completed,0,14067.88
316,574,18,2024-12-31,Cash,Completed,5,4903.04
317,2039,6,2023-11-06,Debit Card,Completed,20,14501.04
318,5588,26,2024-07-23,Cash,Completed,25,6070.91
319,550,12,2023-07-25,Credit Card,Completed,0,7877.46
320,4400,1,2023-03-30,Cash,Completed,5,9890.18
321,2414,30,2024-08-19,Debit Card,Completed,25,14589.1
322,3325,33,2023-02-03,Debit Card,Completed,15,
323,4663,10,2024-07-30,Credit Card,Completed,10,8644.2
324,5437,14,2023-08-19,Credit Card,Completed,10,21713.32
325,1397,18,2024-08-14,Credit Card,Completed,0,10089.22
326,2651,12,2023-07-13,Wallet,Pending,10,10454.51
327,1296,8,2023-09-15,UPI,Completed,15,19172.57
328,2068,22,2023-08-27,Cash,Pending,0,8068.42
329,2898,5,2023-11-14,Credit Card,Completed,10,14677.62
330,793,17,2023-12-26,Net Banking,Returned,25,20332.31
331,307,16,2024-10-27,UPI,Completed,5,14937.51
332,4541,20,2023-05-11,Credit Card,Completed,0,9983.85
333,3660,16,2024-01-08,Net Banking,Completed,0,8318.62
334,2936,2,2024-12-07,Debit Card,Completed,15,4465.96
335,2178,17,2023-02-01,Net Banking,Completed,5,15544.53
336,2650,29,2023-11-01,UPI,Completed,0,5669.85
337,554,28,2023-03-11,Debit Card,Completed,5,20942.03
338,1606,1,2023-03-01,Credit Card,Pending,91,-24437.68
339,2227,5,2024-07-27,Debit Card,Cancelled,0,12829.27
340,1295,6,2023-12-09,Cash,Completed,0,15390.29
341,1503,9,2024-08-07,UPI,Completed,5,14253.09
342,5641,28,2024-09-07,Cash,Completed,20,20010.87
343,5513,20,2024-11-18,Wallet,Completed,10,17682.0
344,2637,28,2024-12-11,Debit Card,Completed,15,11935.11
345,915,20,2023-08-30,UPI,Completed,20,3835.23
346,130,2,2023-12-03,UPI,Cancelled,5,2310.74
347,2246,30,2024-12-18,Net Banking,Completed,10,15093.69
348,2556,28,2023-06-03,Debit Card,Returned,20,15181.57
349,5507,5,2024-09-29,Debit Card,Completed,0,21741.99
350,3778,30,2023-12-16,Cash,Completed,5,18084.48
351,2298,32,2023-09-12,UPI,Cancelled,15,6545.94
352,4338,3,2024-11-13,Credit Card,Completed,0,22203.54
353,2945,26,2024-03-29,Cash,Completed,25,21325.45
354,5605,11,2023-10-23,Debit Card,Pending,15,19325.37
355,4891,25,2023-02-09,Cash,Completed,15,11314.08
356,1630,2,2024-05-23,UPI,Cancelled,0,6764.66
357,4990,6,2023-07-09,Net Banking,Completed,0,20980.99
358,2851,11,2024-10-11,Wallet,Completed,20,14196.31
359,2690,29,2023-06-10,Credit Card,Returned,20,22633.15
360,1973,22,2024-01-05,Credit Card,Completed,15,5675.67
361,4031,14,2023-04-01,Debit Card,Completed,15,17304.84
362,5414,24,2023-10-03,Debit Card,Completed,25,16256.4
363,160,32,2023-09-15,Net Banking,Returned,0,24604.68
364,1185,5,2024-08-09,Credit Card,Completed,0,15720.08
365,1782,15,2023-02-03,Credit Card,Completed,0,22447.47
366,647,15,2023-09-13,UPI,Completed,25,15310.98
367,541,18,2024-02-28,Cash,Completed,0,22793.04
368,4754,5,2024-06-20,Credit Card,Completed,5,10208.19
369,5043,25,2024-06-01,UPI,Completed,0,4445.31
370,4166,20,2023-01-15,UPI,Completed,0,11448.03
371,2432,18,2024-04-11,Net Banking,Completed,10,20754.92
372,1125,21,2023-09-19,Credit Card,Completed,20,10581.89
373,3911,5,2024-11-17,Net Banking,Completed,0,12493.06
374,3484,12,2024-08-30,Debit Card,Completed,10,11181.4
375,2735,25,2024-09-21,UPI,Returned,10,15833.22
376,3486,12,2023-08-06,Credit Card,Completed,0,2968.48
377,4182,26,2023-09-12,Debit Card,Completed,0,10148.33
378,385,19,2024-10-10,Cash,Completed,5,4584.47
379,5033,17,2024-08-26,Credit Card,Completed,0,21894.26
380,4083,2,2024-02-04,Debit Card,Completed,10,9183.91
381,1251,1,2024-03-20,Credit Card,Completed,15,15149.75
382,857,12,2024-09-25,Cash,Completed,5,12667.36
383,2128,10,2024-01-31,Cash,Completed,5,1873.84
384,5562,2,2023-10-01,Credit Card,Completed,0,12658.36
385,2652,10,2024-01-18,Wallet,Completed,0,8403.22
386,697,33,2024-07-31,Debit Card,Returned,0,11405.37
387,1306,24,2023-06-14,Credit Card,Completed,0,13445.25
388,1533,1,2023-11-18,Cash,Returned,20,1502.14
389,81,20,2024-08-15,Net Banking,Returned,5,9250.07
390,5397,18,2023-11-27,Wallet,Pending,0,20081.03
391,1901,33,2023-03-12,Cash,Completed,15,17319.64
392,290,29,2024-03-05,Net Banking,Completed,0,8532.39
393,2887,19,2024-05-26,Cash,Completed,10,9175.91
394,5136,32,2023-01-17,Wallet,Pending,0,23526.36
395,1955,5,2023-08-10,Wallet,Completed,0,2418.76
396,5518,5,2024-04-13,Debit Card,Completed,0,21628.23
397,791,15,2024-10-08,Debit Card,Completed,0,6428.2
398,1555,2,2023-12-11,Wallet,Completed,122,-5268.68
399,2171,6,2024-06-09,Cash,Pending,10,17635.3
400,5409,3,2023-08-04,Debit Card,Completed,0,23016.81
401,3139,9,2023-05-13,Cash,Completed,5,2849.88
402,3765,8,2023-05-30,UPI,Completed,20,9222.83
403,3779,31,2023-06-27,Cash,Completed,0,2881.2
404,440,18,2024-10-22,Debit Card,Completed,132,-13519.91
405,643,14,2024-01-23,Credit Card,Cancelled,0,22203.19
406,4801,14,2023-10-17,UPI,Pending,0,12077.82
407,4976,10,2023-05-12,Debit Card,Completed,25,12277.12
408,4819,30,2023-05-03,Debit Card,Cancelled,0,21833.62
409,1247,8,2023-01-16,Wallet,Completed,5,11350.49
410,4044,17,2023-02-07,UPI,Completed,0,19442.7
411,3128,2,2023-05-01,Wallet,Completed,0,19216.82
412,4917,2,2024-06-21,Net Banking,Completed,0,10746.28
413,1261,12,2023-10-28,Cash,Completed,20,10898.18
414,3027,15,2024-04-05,Wallet,Completed,5,9325.0
415,1475,5,2024-01-29,Net Banking,Completed,5,
416,541,27,2024-09-07,Net Banking,Completed,10,9543.18
417,2115,26,2023-06-25,Cash,Cancelled,5,11104.81
418,4224,31,2023-01-31,Credit Card,Completed,0,1686.18
419,1550,30,2024-05-01,UPI,Completed,15,24873.62
420,4469,3,2023-04-16,UPI,Completed,120,-24640.7
421,5769,9,2024-02-27,Cash,Completed,0,13371.06
422,1450,5,2023-05-21,Debit Card,Completed,0,8273.1
423,1175,20,2024-09-07,Cash,Completed,20,10024.21
424,5294,8,2023-05-18,Cash,Completed,0,6692.48
425,2425,21,2023-05-09,Cash,Completed,0,15020.95
426,390,34,2024-04-04,Cash,Completed,15,23623.55
427,488,33,2024-01-29,Debit Card,Completed,15,14248.85
428,4539,28,2023-11-30,Wallet,Completed,20,23016.14
429,2082,30,2024-09-10,Debit Card,Completed,0,24385.33
430,3960,7,2024-08-22,Wallet,Completed,5,1398.17
431,1488,35,2023-04-05,Cash,Cancelled,0,
432,3471,33,2024-06-05,Debit Card,Completed,5,1102.78
433,837,29,2024-01-28,UPI,Completed,5,2439.88
434,3245,16,2024-06-08,Cash,Returned,0,21351.87
435,2996,8,2023-06-08,Credit Card,Completed,0,7634.12
436,2367,12,2024-08-30,Net Banking,Returned,5,19040.87
437,4056,17,2024-08-24,Wallet,Completed,10,19997.87
438,3052,32,2023-03-18,Net Banking,Completed,0,12255.22
439,3451,8,2024-02-28,Wallet,Completed,25,7955.98
440,2852,34,2024-08-08,Net Banking,Completed,0,18934.15
441,1236,28,2024-07-27,Debit Card,Completed,0,8592.43
442,4929,27,2024-02-17,Wallet,Completed,10,7763.6
443,3533,16,2024-10-14,Net Banking,Completed,10,20215.13
444,5114,28,2023-01-30,Debit Card,Completed,15,17479.08
445,5033,29,2023-12-15,Credit Card,Completed,20,21026.38
446,4265,11,2024-11-12,Wallet,Completed,10,16416.57
447,1145,34,2023-06-17,UPI,Completed,15,24503.51
448,936,21,2024-12-26,Credit Card,Completed,10,8213.31
449,839,12,2023-07-21,Wallet,Completed,0,6152.02
450,2566,17,2023-08-08,Credit Card,Completed,5,2566.39
451,3233,28,2023-04-02,Cash,Completed,15,6439.92
452,5871,10,2024-05-15,Net Banking,Completed,10,6818.0
453,3066,7,2023-03-30,Wallet,Completed,20,22540.97
454,2733,33,2024-07-12,Net Banking,Completed,0,18400.91
455,1905,23,2024-06-12,Cash,Completed,15,7829.82
456,3672,23,2023-05-19,Wallet,Completed,10,334.83
457,3570,24,2024-04-04,Wallet,Completed,0,15630.16
458,4502,10,2024-10-09,Cash,Cancelled,10,13892.53
459,2081,16,2024-10-23,Debit Card,Completed,15,9918.33
460,99999,999,2023-04-14,Cash,Completed,114,-14154.33
461,2725,33,2024-09-10,Debit Card,Completed,25,13205.93
462,2886,26,2024-03-20,Debit Card,Completed,10,5936.31
463,3756,32,2024-09-04,UPI,Completed,5,19131.0
