movement_id,product_id,store_id,movement_type,quantity,movement_date,reference_order_id
122,184,22,IN,193,2024-06-24,
123,278,19,OUT,177,2024-05-07,25309
124,264,30,OUT,374,2024-09-09,20441
125,190,4,OUT,177,2024-09-26,23828
126,27,26,OUT,209,2024-04-07,12842
127,305,2,IN,392,2024-02-21,
128,290,30,IN,46,2023-11-20,
129,217,4,IN,210,2023-06-12,
130,307,29,OUT,127,2023-11-18,1289
131,14,5,IN,321,2024-12-10,
132,158,24,IN,173,2023-12-19,
133,194,28,IN,247,2023-02-20,
134,8888,888,OUT,0,2023-07-12,888888
135,138,22,OUT,341,2024-03-06,19835
136,298,28,OUT,183,2023-05-31,22342
137,341,10,OUT,458,2023-03-24,2140
138,316,1,IN,477,2023-05-10,
139,293,17,OUT,363,2023-07-13,14842
140,44,16,IN,182,2024-01-10,
141,232,14,OUT,303,2023-04-15,13073
142,202,7,OUT,89,2024-06-25,24148
143,357,26,OUT,157,2023-11-08,26202
144,62,28,OUT,467,2024-08-12,7022
145,283,7,OUT,417,2024-08-13,2903
146,23,21,IN,102,2023-05-25,
147,73,13,IN,470,2023-12-22,
148,205,31,OUT,271,2024-06-04,569
149,245,27,OUT,370,2023-04-09,25308
150,138,21,OUT,108,2023-05-25,16951
151,260,20,OUT,192,2023-04-22,13486
152,139,34,OUT,149,2024-01-25,139
153,142,3,IN,480,2023-01-09,
154,226,18,IN,102,2023-06-30,
155,59,27,OUT,416,2023-04-21,19288
156,221,18,OUT,119,2024-08-05,20552
157,64,18,OUT,286,2023-03-24,23833
158,356,29,OUT,284,2023-10-11,24129
159,8888,888,IN,0,2024-02-05,
160,281,13,IN,363,2024-05-01,
161,257,12,IN,462,2024-01-12,
162,94,16,IN,288,2024-02-05,
163,190,18,OUT,15,2024-01-08,25889
164,300,29,IN,429,2023-02-06,
165,8888,888,OUT,0,2023-03-16,888888
166,173,33,OUT,180,2024-06-04,24963
167,122,9,IN,232,2024-04-15,
168,45,15,IN,140,2023-07-04,
169,226,29,OUT,456,2023-10-14,11895
170,132,24,OUT,424,2024-05-03,14146
171,12,11,OUT,242,2023-12-23,19075
172,69,12,IN,333,2023-12-07,
173,200,29,IN,176,2024-06-11,
174,76,15,IN,152,2023-07-07,
175,16,26,IN,496,2023-03-14,
176,99,22,IN,9,2024-02-24,
177,277,30,OUT,289,2024-09-14,16997
178,344,19,IN,102,2024-06-15,
179,272,4,IN,251,2024-11-05,
180,225,3,OUT,0,2023-11-08,77
181,273,10,OUT,278,2024-06-08,8678
182,90,27,OUT,189,2024-04-03,12735
183,8888,888,IN,0,2023-10-13,
184,102,27,OUT,346,2024-03-30,29641
185,239,19,IN,399,2024-09-26,
186,8888,888,IN,0,2023-08-11,
187,59,32,OUT,102,2024-05-11,9994
188,29,10,OUT,184,2023-05-26,13946
189,156,7,IN,61,2024-08-12,
190,198,28,OUT,479,2024-06-25,21087
191,228,5,IN,138,2023-11-12,
192,69,11,OUT,204,2024-09-09,8369
193,295,30,IN,285,2023-11-02,
194,13,20,OUT,316,2024-01-27,10706
195,289,29,IN,281,2023-10-13,
196,214,2,IN,20,2024-08-10,
197,285,24,OUT,361,2023-04-29,2459
198,184,1,IN,388,2024-05-21,
199,111,5,OUT,133,2024-07-17,12452
200,325,5,OUT,146,2024-11-04,12700
201,312,32,IN,263,2024-10-12,
202,79,4,IN,10,2024-12-26,
203,197,19,OUT,177,2023-01-04,28365
204,168,8,IN,438,2024-10-08,
205,178,27,OUT,443,2023-02-05,10748
206,351,25,OUT,39,2023-09-14,3083
207,19,15,OUT,437,2024-12-15,4133
208,240,29,OUT,401,2023-02-12,20725
209,57,20,IN,354,2023-07-10,
210,288,2,IN,425,2024-08-22,
211,242,27,OUT,303,2023-11-13,5403
212,123,28,OUT,213,2023-01-02,12067
213,104,33,OUT,16,2023-09-16,16726
214,359,29,OUT,93,2023-10-31,18128
215,119,26,IN,230,2024-02-06,
216,33,27,OUT,51,2024-10-20,8553
217,148,12,OUT,330,2024-12-27,21976
218,283,31,IN,440,2023-12-05,
219,215,23,OUT,127,2024-12-23,19395
220,3,32,OUT,360,2023-06-03,12986
221,79,28,IN,82,2023-10-09,
222,37,14,OUT,283,2023-07-29,27701
223,320,20,IN,351,2024-02-19,
224,334,31,OUT,28,2023-07-18,20955
225,119,33,IN,442,2024-11-14,
226,130,9,OUT,421,2023-06-07,12711
227,34,10,OUT,237,2024-08-06,17115
228,298,16,IN,285,2023-11-09,
229,159,10,IN,415,2024-08-09,
230,57,32,OUT,447,2023-10-26,6594
231,337,35,OUT,0,2024-04-24,2042
232,16,21,IN,279,2023-01-12,
233,319,7,OUT,129,2023-06-25,1481
234,94,11,OUT,363,2024-01-30,3256
235,166,4,IN,197,2024-01-14,
236,178,35,OUT,472,2023-04-19,13538
237,306,23,OUT,331,2024-10-12,13041
238,331,11,IN,431,2023-08-08,
239,323,31,IN,246,2024-06-26,
240,60,4,IN,147,2024-07-31,
241,305,11,OUT,5,2024-04-17,16310
242,230,6,OUT,173,2023-10-08,21113
243,312,24,OUT,297,2023-07-28,28315
244,37,16,IN,388,2023-05-26,
245,222,25,IN,288,2024-08-17,
246,332,4,OUT,499,2023-01-09,27463
247,70,22,OUT,330,2023-01-29,12317
248,100,28,IN,71,2023-11-05,
249,239,9,OUT,340,2023-07-18,19777
250,335,13,OUT,217,2024-05-08,22032
251,173,11,IN,280,2024-02-05,
252,238,8,IN,44,2024-02-24,
253,260,1,OUT,325,2024-04-04,10976
254,73,25,OUT,169,2024-11-25,4625
255,22,23,OUT,327,2023-06-04,2426
256,247,29,IN,169,2024-11-02,
257,154,20,IN,90,2023-10-18,
258,227,21,IN,187,2023-04-03,
259,102,1,IN,375,2024-03-13,
260,293,17,IN,109,2023-04-14,
261,38,7,IN,34,2023-01-01,
262,98,35,OUT,414,2023-08-05,4227
263,298,12,IN,343,2024-09-29,
264,212,10,OUT,167,2023-04-03,7883
265,238,4,IN,150,2024-07-13,
266,321,24,IN,314,2023-04-23,
267,138,13,IN,412,2024-04-25,
268,39,14,IN,449,2023-05-20,
269,1,25,OUT,402,2023-12-26,3485
270,348,1,IN,419,2023-07-22,
271,307,14,IN,198,2024-04-10,
272,279,1,IN,13,2024-12-16,
273,56,28,IN,258,2024-03-18,
274,62,35,IN,177,2024-04-11,
275,181,2,OUT,166,2024-03-26,7229
276,323,33,OUT,472,2024-03-11,257
277,141,11,IN,393,2023-03-27,
278,203,13,OUT,321,2023-12-12,17456
279,171,20,OUT,193,2023-11-16,17372
280,290,15,IN,377,2023-10-09,
281,219,26,IN,184,2024-09-25,
282,216,28,IN,77,2024-12-31,
283,53,12,OUT,160,2023-10-07,5402
284,132,13,IN,371,2023-06-16,
285,189,34,IN,485,2023-09-03,
286,302,14,IN,206,2023-03-31,
287,219,20,IN,219,2023-12-19,
288,176,1,IN,226,2024-07-28,
289,13,33,OUT,394,2023-11-10,11356
290,8888,888,OUT,0,2023-11-03,888888
291,255,16,OUT,307,2023-04-03,10949
292,111,17,IN,219,2023-09-19,
293,302,15,OUT,343,2024-03-01,22757
294,325,7,OUT,472,2023-04-03,6229
295,211,10,OUT,190,2024-12-30,8166
296,295,22,OUT,292,2024-03-21,22754
297,41,12,OUT,228,2024-05-21,20574
298,83,6,IN,128,2024-06-27,
299,97,18,IN,499,2023-11-05,
300,21,28,IN,274,2024-01-10,
301,170,5,IN,430,2024-01-20,
302,192,27,OUT,81,2023-03-22,28244
303,112,18,OUT,1,2024-09-06,5556
304,82,13,IN,484,2024-12-30,
305,121,1,OUT,55,2024-02-04,11809
306,199,2,IN,73,2024-10-31,
307,124,16,OUT,484,2023-02-27,10187
308,287,22,OUT,122,2023-05-07,9280
309,4,32,OUT,63,2023-12-08,26523
310,106,19,IN,98,2023-04-30,
311,276,18,OUT,469,2023-06-03,19093
312,5,6,IN,99,2024-07-07,
313,28,17,IN,363,2024-02-22,
314,226,7,IN,184,2024-09-06,
315,221,1,OUT,18,2024-04-20,3175
316,62,23,OUT,405,2024-04-17,8772
317,340,34,OUT,203,2023-06-28,20807
318,223,15,OUT,122,2024-10-08,22699
319,162,6,IN,284,2024-02-24,
320,99,28,OUT,86,2023-11-08,10085
321,321,14,OUT,74,2023-05-05,5240
322,104,4,OUT,316,2024-08-23,22582
323,329,15,OUT,312,2024-01-04,3507
324,356,31,OUT,456,2023-05-11,25865
325,77,2,IN,456,2024-05-16,
326,8888,888,IN,0,2023-06-09,
327,326,11,OUT,201,2023-12-20,25553
328,262,19,OUT,58,2023-10-14,22009
329,9,21,IN,0,2024-12-16,
330,50,25,IN,443,2024-01-19,
331,29,3,OUT,428,2024-03-20,1689
332,70,8,OUT,497,2023-09-14,13891
333,217,16,OUT,494,2023-03-17,26072
334,54,19,OUT,433,2023-08-19,17666
335,196,31,IN,64,2024-08-10,
336,111,20,OUT,494,2024-04-14,28902
337,215,2,OUT,66,2023-11-12,4222
338,186,17,IN,394,2023-01-21,
339,262,10,OUT,115,2024-04-15,875
340,233,35,IN,358,2023-09-10,
341,228,18,OUT,112,2023-01-31,6772
342,196,6,IN,284,2024-10-08,
343,35,4,OUT,100,2023-09-23,12314
344,275,11,IN,436,2024-03-17,
345,200,32,IN,372,2023-04-17,
346,271,17,IN,360,2023-12-31,
347,54,17,OUT,204,2023-10-22,20352
348,23,18,IN,414,2023-08-13,
349,111,28,IN,0,2023-02-08,
350,308,16,IN,201,2023-02-10,
351,228,6,IN,436,2023-08-19,
352,52,20,OUT,2,2024-06-08,10229
353,240,22,IN,279,2023-05-09,
354,219,12,OUT,118,2023-08-07,199
355,356,20,OUT,0,2023-10-15,21172
356,274,24,IN,264,2024-01-18,
357,67,20,IN,50,2023-06-07,
358,218,18,OUT,108,2024-06-29,7322
359,169,17,OUT,317,2024-05-03,22076
360,260,32,IN,176,2024-06-28,
361,169,27,IN,471,2023-04-20,
362,291,12,IN,166,2023-12-29,
363,243,14,OUT,297,2024-08-27,15643
364,334,4,IN,367,2023-09-02,
365,39,5,OUT,241,2024-03-22,22670
366,354,12,IN,319,2023-09-30,
367,18,1,IN,387,2024-03-14,
368,136,28,IN,30,2024-09-14,
369,331,22,OUT,73,2024-12-23,26320
370,220,11,IN,154,2023-02-24,
371,246,33,IN,72,2023-09-19,
372,149,5,OUT,17,2023-10-28,15176
373,235,16,OUT,105,2023-02-02,14973
374,29,6,OUT,432,2024-04-25,3342
375,204,5,IN,264,2024-10-08,
376,137,14,IN,187,2023-01-06,
377,73,32,IN,30,2024-12-01,
378,348,15,OUT,85,2023-02-26,4135
379,25,6,OUT,390,2023-09-27,18997
380,102,33,IN,182,2023-10-14,
381,201,31,IN,160,2023-05-24,
382,74,7,OUT,69,2024-09-24,2753
383,48,6,OUT,451,2023-05-23,20394
384,30,24,OUT,220,2023-08-03,15137
385,230,27,IN,282,2024-06-02,
386,87,11,OUT,200,2024-12-07,12693
387,197,25,OUT,392,2024-04-24,13159
388,359,27,IN,170,2023-05-06,
389,192,32,IN,406,2023-06-26,
390,208,25,OUT,466,2023-08-22,12382
391,207,29,IN,155,2024-07-03,
392,330,32,OUT,281,2023-04-10,19746
393,158,29,OUT,93,2024-05-04,16948
394,350,35,IN,0,2024-01-25,
395,223,27,OUT,416,2024-10-20,4866
396,129,10,OUT,51,2024-03-22,3796
397,322,20,OUT,334,2023-05-12,5903
398,154,1,OUT,268,2023-06-10,16996
399,135,10,OUT,178,2024-08-05,3984
400,23,25,OUT,390,2024-11-04,5499
401,334,20,OUT,180,2024-06-19,14406
402,119,35,IN,437,2024-03-08,
403,222,20,OUT,170,2023-01-20,26507
404,79,26,OUT,269,2023-11-10,15324
405,64,21,OUT,304,2024-01-28,5232
406,96,10,OUT,82,2023-05-04,20720
407,162,5,OUT,6,2023-11-28,17693
408,344,2,IN,254,2024-03-05,
409,140,21,OUT,395,2023-03-01,16965
410,154,35,IN,77,2024-06-19,
411,208,29,OUT,165,2024-06-23,13252
412,219,18,OUT,242,2024-10-22,2171
413,257,31,OUT,445,2024-01-29,21346
414,138,2,OUT,450,2024-08-31,6581
415,106,24,IN,245,2024-03-30,
416,294,1,IN,382,2023-06-02,
417,178,27,OUT,412,2023-11-01,17474
418,79,1,IN,124,2024-08-08,
419,27,17,IN,175,2023-06-18,
420,155,15,OUT,80,2023-09-05,12530
421,16,17,OUT,33,2024-03-06,19244
422,181,12,IN,378,2023-07-06,
423,324,20,OUT,478,2024-12-01,5886
424,137,3,IN,425,2023-11-27,
425,206,18,IN,416,2024-10-05,
426,285,10,OUT,58,2024-06-25,8210
427,167,24,OUT,377,2024-03-24,18166
428,177,28,OUT,135,2024-08-02,10070
429,7,3,OUT,298,2023-05-23,517
430,232,33,OUT,28,2023-09-25,14741
431,301,30,OUT,9,2023-05-04,2226
432,86,5,IN,363,2024-06-20,
433,288,19,OUT,25,2023-12-10,2628
434,198,19,OUT,352,2023-07-10,15901
435,185,18,OUT,343,2024-10-27,6213
436,323,12,OUT,0,2024-08-19,14713
437,141,21,OUT,219,2023-07-26,7655
438,340,17,IN,59,2023-08-04,
439,47,10,IN,304,2024-12-22,
440,308,22,IN,494,2024-10-21,
441,186,31,IN,113,2024-02-25,
442,200,16,OUT,73,2024-06-16,26763
443,238,4,OUT,275,2023-01-19,14016
444,14,4,OUT,0,2024-03-14,21245
445,337,8,OUT,426,2023-04-17,7745
446,274,21,IN,14,2024-07-22,
447,284,20,IN,154,2023-02-17,
448,157,1,IN,283,2024-10-25,
449,354,26,OUT,103,2024-05-09,9765
450,290,25,OUT,245,2023-02-05,25368
451,355,1,IN,281,2024-11-25,
452,340,23,OUT,460,2024-04-08,9641
453,233,8,IN,124,2024-11-12,
454,110,19,IN,141,2024-05-12,
455,96,16,OUT,395,2023-07-28,490
456,200,16,OUT,373,2024-07-06,2465
457,49,22,IN,494,2024-04-08,
458,112,17,IN,428,2024-10-14,
459,287,4,OUT,360,2024-05-02,12268
460,123,26,IN,285,2023-03-16,
461,188,21,IN,420,2024-04-06,
462,115,34,OUT,193,2024-06-11,16290
463,197,20,IN,75,2023-01-04,
464,310,30,IN,178,2023-06-15,
465,58,14,OUT,171,2024-06-27,2619
466,289,28,IN,129,2024-08-16,
467,103,1,OUT,413,2024-03-29,18962
468,293,12,IN,424,2024-02-29,
469,314,14,IN,250,2023-09-28,
470,320,31,OUT,264,2023-05-18,13328
471,44,15,IN,446,2024-05-18,
472,231,19,OUT,61,2024-08-12,3586
473,288,27,IN,23,2024-04-07,
474,178,17,OUT,215,2024-07-07,21516
475,195,12,OUT,437,2023-03-09,6801
476,28,17,OUT,132,2024-03-17,13248
477,191,24,IN,245,2023-08-20,
478,254,4,IN,131,2023-08-27,
479,280,5,IN,56,2023-04-20,
480,272,23,OUT,273,2023-07-11,17821
481,107,4,OUT,489,2023-08-24,2353
482,272,13,IN,477,2024-11-12,
483,90,17,OUT,286,2023-01-19,12982
484,194,13,OUT,114,2023-10-21,12166
485,322,22,IN,62,2023-12-05,
486,53,26,IN,497,2024-07-26,
487,217,21,OUT,62,2024-11-28,19414
488,91,28,IN,408,2024-02-09,
489,122,16,OUT,326,2024-10-05,27452
490,332,5,IN,25,2023-08-17,
491,40,25,IN,168,2023-03-22,
492,8888,888,IN,0,2023-12-01,
493,355,3,OUT,147,2024-12-16,2229
494,8888,888,OUT,0,2023-03-25,888888
495,173,1,IN,64,2024-01-07,
496,175,26,OUT,165,2023-02-21,24909
497,326,22,OUT,399,2024-12-27,15297
498,111,15,OUT,9,2023-02-14,13694
499,217,14,IN,10,2023-07-23,
500,261,2,IN,225,2024-12-13,
501,298,11,OUT,303,2024-12-14,244
502,267,19,OUT,434,2023-07-13,9580
503,312,2,OUT,253,2023-08-22,11823
504,70,14,OUT,30,2024-08-13,14902
505,276,16,IN,282,2023-05-08,
506,71,14,IN,225,2024-07-27,
507,186,15,IN,34,2024-01-01,
508,317,20,OUT,466,2023-08-23,90
509,72,25,IN,494,2023-07-27,
510,271,10,OUT,131,2023-12-03,12844
511,18,18,IN,346,2024-01-13,
512,74,3,IN,260,2023-12-30,
513,138,6,OUT,344,2024-05-24,8044
514,342,29,IN,343,2024-06-30,
515,18,31,OUT,176,2023-09-02,23759
516,120,6,IN,474,2024-06-15,
517,224,8,IN,257,2024-02-20,
518,180,8,IN,329,2024-06-28,
519,254,26,IN,82,2024-10-21,
520,327,1,OUT,141,2024-07-09,25345
521,59,28,OUT,167,2024-09-24,8771
522,163,20,IN,475,2024-01-16,
523,349,30,IN,281,2023-06-21,
524,267,24,OUT,413,2024-09-03,3554
525,150,32,OUT,72,2024-05-30,29976
526,205,9,IN,285,2023-10-11,
527,152,6,OUT,430,2024-07-05,12705
528,273,31,OUT,340,2024-05-01,26452
529,317,19,IN,227,2023-12-29,
530,81,12,IN,265,2023-09-19,
531,328,26,IN,13,2023-12-01,
532,18,21,IN,181,2024-05-15,
533,354,8,OUT,495,2024-10-10,6469
534,118,11,OUT,120,2023-04-06,21119
535,47,24,OUT,233,2023-10-03,25731
536,300,19,OUT,226,2023-02-24,23869
537,154,34,IN,408,2024-03-16,
538,312,9,IN,475,2024-11-10,
539,163,12,IN,397,2024-12-19,
540,195,7,IN,106,2023-10-14,
541,177,24,IN,58,2023-09-30,
542,98,5,OUT,70,2024-12-17,12683
543,272,32,IN,500,2023-08-28,
544,358,19,IN,180,2024-02-04,
545,338,21,IN,202,2024-03-10,
546,133,5,IN,28,2023-06-25,
547,190,20,IN,37,2023-02-26,
548,48,30,IN,59,2024-05-09,
549,319,21,IN,358,2024-12-22,
550,298,5,IN,95,2024-05-12,
551,31,18,IN,434,2024-12-12,
552,74,17,IN,424,2024-01-08,
553,242,26,OUT,450,2023-03-01,23407
554,125,21,OUT,230,2023-08-13,16883
555,251,21,OUT,46,2023-06-06,2165
556,254,30,IN,197,2023-12-26,
557,204,10,OUT,403,2024-02-28,13106
558,270,25,IN,103,2023-03-08,
559,309,12,OUT,435,2023-04-15,18474
560,199,29,OUT,387,2024-11-09,27308
561,110,7,IN,26,2023-12-25,
562,14,17,IN,177,2024-06-14,
563,141,22,IN,490,2024-12-23,
564,276,31,IN,296,2024-02-23,
565,354,28,IN,99,2024-03-27,
566,268,12,IN,80,2024-03-31,
567,9,14,OUT,95,2024-11-30,8182
568,13,20,OUT,233,2024-08-13,17803
569,155,2,OUT,362,2023-05-19,23288
570,271,6,OUT,454,2024-02-08,8127
571,130,9,IN,331,2024-01-03,
572,3,28,OUT,50,2024-05-03,19419
573,321,21,OUT,246,2024-06-20,21487
574,202,3,OUT,467,2023-03-19,3816
575,234,28,OUT,362,2024-04-11,15089
576,332,25,IN,449,2024-03-19,
577,16,32,IN,235,2023-11-10,
578,91,1,IN,51,2023-01-22,
579,356,24,OUT,447,2024-11-30,10764
580,108,16,OUT,448,2024-01-24,9469
581,37,24,OUT,194,2023-12-22,15076
582,241,6,IN,308,2023-09-25,
583,338,6,IN,362,2024-08-22,
584,307,25,IN,38,2023-03-03,
585,59,5,OUT,391,2024-02-23,17744
586,201,28,IN,426,2023-03-03,
587,316,25,OUT,472,2023-05-25,14126
588,360,22,IN,75,2024-11-14,
589,245,14,IN,345,2024-06-10,
590,13,32,OUT,3,2023-01-05,29423
591,172,10,OUT,75,2023-01-05,9876
592,351,7,IN,481,2024-05-11,
593,8888,888,OUT,0,2024-02-03,888888
594,194,24,OUT,115,2024-05-02,7008
595,149,19,IN,383,2024-01-11,
596,73,18,OUT,494,2023-11-09,20853
597,300,32,OUT,323,2023-10-31,18168
598,260,27,IN,12,2023-03-15,
599,291,24,IN,310,2023-07-24,
600,186,26,IN,387,2024-03-28,
601,4,28,IN,454,2024-02-25,
602,154,30,OUT,400,2023-09-13,21678
603,136,23,IN,374,2023-08-06,
604,88,5,OUT,181,2024-11-18,1975
605,37,17,OUT,261,2023-12-21,16890
606,69,4,IN,1,2023-04-20,
607,213,26,OUT,318,2023-08-15,17942
608,152,18,OUT,478,2023-04-08,25279
609,86,15,OUT,38,2023-03-13,3351
610,42,26,IN,473,2024-07-15,
611,278,6,OUT,11,2024-04-03,19932
612,14,10,OUT,264,2023-01-25,22783
613,62,24,IN,86,2024-05-05,
614,8888,888,OUT,0,2023-09-13,888888
615,249,12,IN,398,2024-08-08,
616,146,7,IN,415,2024-07-02,
617,348,21,OUT,409,2024-09-13,7263
618,176,6,IN,42,2023-09-09,
619,135,32,OUT,158,2023-10-15,1447
620,238,3,OUT,457,2024-02-02,8939
621,69,21,OUT,315,2023-03-06,11841
622,242,21,IN,33,2024-05-05,
623,282,8,IN,95,2024-12-21,
624,196,25,OUT,449,2023-08-07,21006
625,8888,888,OUT,0,2024-05-28,888888
626,72,7,OUT,374,2023-04-08,4826
627,148,8,OUT,128,2023-02-05,26379
628,126,3,OUT,473,2023-08-02,21066
629,210,3,IN,316,2023-08-28,
630,307,11,OUT,156,2024-03-27,20410
631,40,32,OUT,127,2024-11-08,11935
632,64,29,OUT,308,2023-06-12,17520
633,188,32,IN,175,2024-01-22,
634,168,34,IN,223,2024-03-05,
635,348,15,OUT,447,2023-12-10,12341
636,197,1,OUT,0,2024-01-27,12549
637,38,1,OUT,152,2024-01-20,6539
638,44,17,OUT,354,2023-06-17,677
639,269,29,IN,448,2024-02-21,
640,190,6,IN,52,2024-10-15,
641,61,8,IN,87,2023-01-01,
642,27,20,OUT,46,2024-02-04,2050
643,242,31,IN,320,2024-12-24,
644,234,13,OUT,167,2024-02-20,16975
645,218,6,OUT,374,2023-07-28,26168
646,149,12,IN,169,2023-05-05,
647,254,3,IN,290,2024-08-20,
648,85,2,IN,21,2023-09-16,
649,214,4,OUT,453,2023-12-10,17726
650,221,33,IN,415,2023-12-27,
651,76,31,IN,67,2023-06-14,
652,46,30,IN,248,2024-07-18,
653,158,33,OUT,410,2023-07-25,28121
654,187,16,OUT,216,2024-02-03,24883
655,205,10,OUT,405,2023-03-20,22500
656,177,34,OUT,395,2024-12-18,24112
657,292,32,OUT,233,2024-09-24,3373
658,309,29,OUT,57,2024-10-28,528
659,120,2,IN,306,2023-04-11,
660,128,13,OUT,55,2023-05-01,301
661,229,15,OUT,293,2023-01-17,15921
662,14,2,OUT,404,2023-01-15,26596
663,67,24,OUT,422,2023-06-02,23655
664,116,11,OUT,418,2023-08-12,1027
665,27,26,OUT,398,2023-07-24,1704
666,61,6,OUT,301,2024-08-21,9022
667,14,14,OUT,4,2024-02-28,1979
668,140,19,IN,403,2024-02-16,
669,359,11,OUT,130,2024-03-28,2481
670,224,31,IN,239,2023-10-18,
671,197,32,IN,19,2024-04-29,
672,232,13,IN,183,2024-12-08,
673,209,16,OUT,318,2023-08-26,4898
674,263,12,OUT,257,2023-06-07,27343
675,65,5,OUT,373,2024-03-30,2578
676,324,17,OUT,304,2023-08-10,23191
