product_id,product_name,category_id,supplier_id,cost_price_inr,unit_price_inr
192,Eco Printed T-Shirt,3,37,7478.42,11131.68
193,Premium Bookshelf,10,8,12517.43,20712.69
194,Eco Green Tea Pack,14,44,1685.59,2805.55
195,Pro Mixer Grinder,12,45,11164.12,20081.7
196,Compact Notebook Pack,9,28,6649.51,9117.77
197,Royal Soft Drink 2L,14,4,10155.29,13038.17
198,Essential Chocolate Cake,13,13,674.5,1083.77
199,Eco Ball Pen Set,9,35,3918.95,6961.4
200,Smart Bluetooth Speaker,2,9,2065.57,3324.6
201,Royal Running Shoes,4,45,6686.56,11756.97
202,Ultra Protein Powder,15,37,3626.75,5654.51
203,Ultra Denim Jeans,3,30,12595.5,17809.59
204,Essential Cooking Oil 1L,1,14,670.08,1160.76
205,Classic Pressure Cooker,5,11,4880.57,7099.42
206,Premium LED TV 43in,2,30,14882.08,24373.72
207,Classic Induction Cooktop,12,42,7343.37,10517.59
208,Classic Cooking Oil 1L,1,42,4303.88,6665.34
209,Classic Tempered Glass,11,9,11216.78,13083.71
210,Royal Herbal Shampoo,6,44,2543.52,4222.25
211,Deluxe Sunscreen SPF50,6,42,12383.39,16817.9
212,Eco Body Lotion,6,4,637.97,968.74
213,Premium Toaster,12,14,7425.81,10950.8
214,Deluxe Study Table,10,45,3427.94,4250.29
215,Essential Sugar 1kg,1,13,3289.76,4579.73
216,Deluxe Soft Drink 2L,14,19,1098.47,1302.72
217,Premium Wireless Mouse,2,43,14341.0,18135.39
218,Ultra Sugar 1kg,1,44,5234.58,6684.66
219,Royal Board Game,8,41,12983.97,23154.83
220,Compact Whole Wheat Bread,13,39,9883.37,14995.69
221,Smart Tempered Glass,11,22,7965.45,12441.52
222,Classic Toaster,12,10,9914.02,13798.4
223,Ultra Ball Pen Set,9,29,5957.22,7293.21
224,Eco Notebook Pack,9,17,9752.12,12403.73
225,Essential Flip Flops,4,15,8127.58,13027.46
226,Pro Study Table,10,44,1120.63,1608.88
227,Royal Mixer Grinder,12,7,6910.61,11028.47
228,Essential Flip Flops,4,6,2069.3,3423.67
229,Premium Face Wash,6,45,8922.73,11497.27
230,Ultra Yoga Mat,7,13,8453.13,14762.36
231,Premium Induction Cooktop,12,17,1858.38,2587.72
232,Premium Toaster,12,39,5314.57,7340.65
233,Eco Salt 1kg,1,17,-5328.23,4771.39
234,Essential Whole Wheat Bread,13,8,1124.85,1482.52
235,Deluxe Soft Drink 2L,14,38,13133.54,19700.07
236,Premium Building Blocks Set,8,22,14917.38,21878.73
237,Classic Green Tea Pack,14,12,9313.91,14613.96
238,Pro Formal Trousers,3,15,13097.85,20263.02
239,Deluxe Casual Sneakers,4,38,9376.79,12071.65
240,Pro Sunscreen SPF50,6,23,4729.11,6469.79
241,Ultra Formal Shoes,4,3,9470.5,15366.13
242,Smart USB Cable,2,23,8543.03,12757.28
243,Classic Toor Dal 1kg,1,13,11618.99,18143.24
244,Deluxe Steel Dinner Set,5,44,1099.02,1951.77
245,Compact Instant Coffee Jar,14,36,10741.04,14687.06
246,Royal Face Mask Pack,15,24,13415.12,22483.63
247,Essential Running Shoes,4,26,6693.86,10172.47
248,Smart Bluetooth Speaker,2,20,3796.72,5777.6
249,Ultra Bluetooth Speaker,2,6,8782.15,11836.18
250,Classic Muffins Box,13,32,4802.47,6069.85
251,Smart Chocolate Cake,13,16,10571.84,13657.81
252,Royal Bookshelf,10,42,1511.56,1975.8
253,Classic Basmati Rice 5kg,1,37,5130.58,6355.93
254,Compact Multivitamin Tablets,15,2,3199.15,4358.48
255,Compact Resistance Band,7,12,880.57,1249.77
256,Ultra Sunscreen SPF50,6,999,-3870.12,3367.45
257,Pro Face Wash,6,40,,18040.72
258,Royal Leather Sandals,4,6,5380.51,7452.66
259,Ultra Instant Coffee Jar,14,37,4975.97,8119.31
260,Smart Whole Wheat Bread,13,42,11593.64,20698.13
261,Deluxe Sketch Book,9,17,155.42,226.8
262,Eco Herbal Shampoo,6,26,-11353.69,6286.05
263,Royal Ball Pen Set,9,12,3901.51,6023.73
264,Royal Instant Coffee Jar,14,2,5275.41,8500.06
265,Pro Casual Sneakers,4,30,,2442.66
266,Compact Muffins Box,13,4,3437.19,4792.8
267,Premium Tempered Glass,11,17,331.06,533.34
268,Smart Sunscreen SPF50,6,20,13193.72,19448.74
269,Deluxe Puzzle 500pc,8,20,4252.84,5807.22
270,Ultra Kurta Set,3,39,14353.29,18484.8
271,Premium Fruit Juice 1L,14,29,2750.81,4708.23
272,Deluxe Basmati Rice 5kg,1,1,2018.1,2717.9
273,Essential Chocolate Cake,13,44,5969.67,8472.34
274,Premium Cricket Bat,7,38,3534.48,5884.46
275,Ultra Ball Pen Set,9,28,10482.39,17018.45
276,Classic LED TV 43in,2,999,-14559.41,8583.72
277,Royal Phone Case,11,23,12596.81,22324.14
278,Classic Instant Coffee Jar,14,18,10559.67,12248.0
279,Premium Flip Flops,4,27,11846.99,20954.4
280,Essential Salt 1kg,1,35,4246.4,5796.29
281,Pro Induction Cooktop,12,28,4787.61,6810.12
282,Deluxe Football,7,41,98.66,152.44
283,Eco Bed Side Table,10,13,9958.13,12013.77
284,Pro Mixer Grinder,12,45,8386.62,13377.94
285,Essential Building Blocks Set,8,42,12805.02,18971.71
286,Compact Formal Shoes,4,5,5914.99,8825.57
287,Royal Face Wash,6,43,3364.49,5208.69
288,Royal Puzzle 500pc,8,38,7159.74,9263.24
289,Royal Sketch Book,9,14,7921.56,13297.76
290,Deluxe Soft Drink 2L,14,41,14211.47,24248.56
291,Compact Sunscreen SPF50,6,28,1863.05,2328.81
292,Essential Body Lotion,6,43,1338.24,1883.05
293,Deluxe Board Game,8,34,2265.21,3606.48
294,Compact Flip Flops,4,999,-5114.62,2968.22
295,Deluxe Toor Dal 1kg,1,20,10778.34,14318.88
296,Classic Soft Drink 2L,14,34,9549.42,16313.07
297,Ultra Cookies Pack,13,24,13809.39,22320.29
298,Pro Cookies Pack,13,28,9729.82,16317.27
299,Ultra Plastic Chair,10,13,14665.78,24984.81
300,Classic Casual Sneakers,4,6,11345.46,15845.21
301,Classic Multivitamin Tablets,15,38,8461.07,14872.77
302,Classic Remote Control Car,8,29,,7398.22
303,Pro Leather Sandals,4,35,628.01,999.73
304,Classic Muffins Box,13,6,3326.21,3991.91
305,Ultra Bluetooth Speaker,2,30,843.97,1344.14
306,Pro Toor Dal 1kg,1,38,2120.49,2999.47
307,Eco Body Lotion,6,34,14733.8,18726.59
308,Pro Power Bank 10000mAh,2,17,9966.04,13396.4
309,Smart Phone Case,11,20,3742.87,5229.34
310,Deluxe Steel Dinner Set,5,4,3128.44,4924.05
311,Compact Electric Kettle,12,22,3019.99,5277.72
312,Royal Face Wash,6,5,6145.75,9324.36
313,Smart Muffins Box,13,13,10664.13,17826.16
314,Eco Face Mask Pack,15,14,884.59,1266.66
315,Ultra Green Tea Pack,14,32,2718.88,4756.84
316,Smart Remote Control Car,8,14,8026.03,10059.19
317,Essential Notebook Pack,9,7,3040.38,3677.33
318,Essential Fruit Juice 1L,14,44,6380.16,10937.59
319,Smart Formal Trousers,3,15,13123.3,21892.07
320,Compact Storage Container Set,5,36,12622.75,15762.45
321,Compact Yoga Mat,7,25,2356.64,3155.99
322,Deluxe Formal Shoes,4,12,6459.28,10278.58
323,Royal Bluetooth Speaker,2,999,-1112.56,904.05
324,Eco Multivitamin Tablets,15,32,4214.38,5676.43
325,Essential Leather Sandals,4,18,11521.25,18978.95
326,Ultra Non-Stick Pan,5,39,1527.99,1758.49
327,Deluxe Non-Stick Pan,5,22,5266.44,7703.1
328,Classic Power Bank 10000mAh,2,36,6835.64,11179.85
329,Premium Football,7,3,613.38,936.33
330,Compact Resistance Band,7,5,5633.2,8906.34
331,Premium Power Bank 10000mAh,2,42,13104.04,19160.21
332,Classic Protein Powder,15,10,7452.01,11166.03
333,Royal Printed T-Shirt,3,3,7611.61,10568.6
334,Eco Leather Sandals,4,999,-7536.91,6612.32
335,Eco Chocolate Cake,13,6,11255.63,14068.15
336,Royal Resistance Band,7,8,4393.53,7595.66
337,Ultra Leather Sandals,4,33,10667.64,12698.65
338,Eco LED TV 43in,2,40,11597.38,14653.93
339,Ultra Muffins Box,13,12,181.27,319.25
340,Deluxe Bluetooth Speaker,2,33,10188.51,12718.34
341,Compact Leather Sandals,4,5,14959.46,24900.51
342,Classic Cookies Pack,13,39,9553.11,12222.01
343,Classic Muffins Box,13,42,10767.32,14826.38
344,Deluxe Earphones,11,17,12429.87,21865.84
345,Pro Instant Coffee Jar,14,25,12381.1,20551.14
346,Classic Study Table,10,17,11265.71,19161.38
347,Essential Ball Pen Set,9,37,13623.62,21735.97
348,Compact Muffins Box,13,25,6105.49,7366.97
349,Smart Sunscreen SPF50,6,1,4521.04,6973.66
350,Pro Board Game,8,39,4505.88,5608.87
351,Ultra Football,7,3,4396.13,5306.94
352,Royal Board Game,8,16,1828.25,2914.08
353,Smart Formal Trousers,3,22,14366.45,19905.33
354,Smart Bed Side Table,10,32,4791.03,8238.35
355,Pro Instant Coffee Jar,14,34,155.7,265.43
356,Compact Bookshelf,10,44,1531.59,2311.54
357,Smart Dumbbell Set,7,43,6252.09,9279.85
358,Smart Storage Container Set,5,43,10645.08,16990.66
359,Essential Salt 1kg,1,32,5468.56,9758.8
360,Royal Phone Case,11,25,6727.05,11020.24
